field1,field2,field3,field4,field5,field6,_GC_TYPE,_X,_Y
코레일,3호선,주엽,경기도 고양시 일산서구 주엽동 166-7,경기도 고양시 일산서구 중앙로 지하 1432,,정,126.76104574911646,37.67043112331252
코레일,3호선,화정,경기도 고양시 덕양구 화정동 1098,경기도 고양시 덕양구 화정로 지하60,,정,126.83263056500721,37.634508261513645
코레일,3호선,정발산,경기도 고양시 일산동구 마두동 1123,경기도 고양시 일산동구 중앙로 지하 1270,,정,126.7734654449363,37.65965906012928
서울교통공사,3호선,녹번,서울특별시 은평구 녹번동 55,서울특별시 은평구 통일로 지하 602-1,,정,126.93601251561816,37.600730228696584
코레일,3호선,원당,경기도 고양시 덕양구 성사동 410-7,경기도 고양시 덕양구 고양대로 1429,,정,126.84310508945202,37.65343367364329
코레일,3호선,마두,경기도 고양시 일산동구 마두동 765-1,경기도 고양시 일산동구 중앙로 지하 1180,,정,126.7781905017962,37.65232154440231
코레일,3호선,대화,경기도 고양시 일산서구 대화동 2221,경기도 고양시 일산서구 중앙로 지하 1569,,정,126.74730751982975,37.67595857204191
서울교통공사,3호선,홍제,서울특별시 서대문구 홍제동 161-1,서울특별시 서대문구 통일로 지하 440-1,,정,126.94424219169258,37.588709323762124
서울교통공사,3호선,무악재,서울특별시 서대문구 홍제동 26-1,서울특별시 서대문구 통일로 지하 361,,정,126.95032134617072,37.5823833237838
코레일,3호선,원흥,경기도 고양시 덕양구 원흥동 569-15,경기도 고양시 덕양구 권율대로 681,,정,126.87330681874175,37.65091924005201
서울교통공사,3호선,구파발,서울특별시 은평구 진관동 67-26,서울특별시 은평구 진관2로 지하 15-25,,정,126.91875332513474,37.6368547561016
서울교통공사,3호선,약수,서울특별시 중구 신당동 369-44,서울특별시 중구 다산로 지하 122,,정,127.01082285872359,37.55455995847428
서울교통공사,3호선,연신내,서울특별시 은평구 갈현동 397,서울특별시 은평구 통일로 지하 849 3호선,,정,126.9211666763322,37.618969933364056
코레일,3호선,삼송,경기도 고양시 덕양구 삼송동 18-5,경기도 고양시 덕양구 삼송로 지하 194,,정,126.89574215336172,37.653252666592735
서울교통공사,3호선,독립문,서울특별시 서대문구 현저동 101,서울특별시 서대문구 통일로 지하 247,,정,126.95775000866655,37.57441014114405
